dates;confirmed;death;recovered;Population
06/03/2020;1;0;0;25216237
07/03/2020;1;0;0;25216237
08/03/2020;2;0;0;25216237
09/03/2020;2;0;0;25216237
10/03/2020;2;0;0;25216237
11/03/2020;2;0;0;25216237
12/03/2020;2;0;0;25216237
13/03/2020;2;0;0;25216237
14/03/2020;2;0;0;25216237
15/03/2020;2;0;0;25216237
16/03/2020;4;0;0;25216237
17/03/2020;10;0;0;25216237
18/03/2020;10;0;0;25216237
19/03/2020;13;0;0;25216237
20/03/2020;20;0;0;25216237
21/03/2020;27;0;0;25216237
22/03/2020;40;0;0;25216237
23/03/2020;56;0;0;25216237
24/03/2020;66;0;0;25216237
25/03/2020;75;1;0;25216237
26/03/2020;88;1;0;25216237
27/03/2020;91;2;0;25216237
28/03/2020;99;3;0;25216237
29/03/2020;139;6;5;25216237
30/03/2020;193;6;5;25216237
31/03/2020;223;6;10;25216237
01/04/2020;246;6;10;25216237
02/04/2020;306;8;10;25216237
03/04/2020;509;8;17;25216237
04/04/2020;555;9;17;25216237
05/04/2020;650;9;17;25216237
06/04/2020;667;9;60;25216237
07/04/2020;685;9;60;25216237
08/04/2020;730;10;60;25216237
09/04/2020;803;12;61;25216237
10/04/2020;820;12;98;25216237
